/net014 X,/net014 Y,/net015 X,/net015 Y
1.893659575699931e-09,0.8611399838691558,1.893659575699931e-09,-0.04247299230277016
1.9e-09,0.8610428653204506,1.9e-09,-0.04238604610134437
1.90213253049563e-09,0.8610143079739426,1.90213253049563e-09,-0.04235997896236515
1.903384377694911e-09,0.8609990382245593,1.903384377694911e-09,-0.04234594130251385
1.905888072093474e-09,0.8609714828183108,1.905888072093474e-09,-0.0423203683514865
1.909784446380556e-09,0.8609357035442522,1.909784446380556e-09,-0.04228603365799202
1.912087382295815e-09,0.8609189200234555,1.912087382295815e-09,-0.04226926755054167
1.914073528459286e-09,0.8609074616688718,1.914073528459286e-09,-0.04225741420266121
1.916779702484137e-09,0.8608941234165557,1.916779702484137e-09,-0.0422429474811356
1.919485876508988e-09,0.8608856317117306,1.919485876508988e-09,-0.04223288588168676
1.922192050533839e-09,0.8608806583407772,1.922192050533839e-09,-0.04222590222047128
1.92489822455869e-09,0.8608776364657078,1.92489822455869e-09,-0.04222055361647567
1.927594928863552e-09,0.8608759169306509,1.927594928863552e-09,-0.04221599951280632
1.930015311578704e-09,0.8608764423180848,1.930015311578704e-09,-0.04221340876335244
1.933879099046366e-09,0.8608793674508562,1.933879099046366e-09,-0.0422099243008957
1.934893761329821e-09,0.8608797798970258,1.934893761329821e-09,-0.04220846057586907
1.936519911246861e-09,0.8608812571143276,1.936519911246861e-09,-0.04220674980230874
1.939772211080939e-09,0.8608877092361241,1.939772211080939e-09,-0.04220577375189654
1.945016617078672e-09,0.86090087500991,1.945016617078672e-09,-0.04220559180029983
1.953011983786036e-09,0.8609300804976607,1.953011983786036e-09,-0.04220930982067681
1.962863367288341e-09,0.8609846581725188,1.962863367288341e-09,-0.04221928546703425
1.972542637265524e-09,0.8610703010124638,1.972542637265524e-09,-0.04225475541125549
1.978117672113876e-09,0.8611355457603336,1.978117672113876e-09,-0.0422918592139821
1.98275933295662e-09,0.861204240237516,1.98275933295662e-09,-0.04233724050040423
1.992042654642108e-09,0.8613630895953207,1.992042654642108e-09,-0.04245421756704601
2.001918101471991e-09,0.8615366066075359,2.001918101471991e-09,-0.04259843975274537
2.009757152980822e-09,0.861660058158049,2.009757152980822e-09,-0.04270757683657692
2.018589901809357e-09,0.8617689946685818,2.018589901809357e-09,-0.04280369410421386
2.024313834969836e-09,0.8618203107397749,2.024313834969836e-09,-0.04284892259162553
2.033401949038966e-09,0.8618689811897688,2.033401949038966e-09,-0.0428842664135517
2.038864101879652e-09,0.8618948837310373,2.038864101879652e-09,-0.04290057255884952
